Store ID,Store name,Country name,Country short name,Year,actual_turnover,predicted_turnover,residual,pct_diff,abs_pct_diff,performance_flag
2755,Store 1095,Deutschland,DE,2023,706172.968799991,708295.4181650517,-2122.4493650607765,-0.002996559501343815,0.002996559501343815,In line
2756,Store 1096,Deutschland,DE,2023,322953.7067999991,330876.70422103244,-7922.997421033331,-0.023945467661998367,0.023945467661998367,In line
2757,Store 1097,Deutschland,DE,2023,520084.9781999946,518161.42418876424,1923.554011230357,0.003712267879149594,0.003712267879149594,In line
2758,Store 1098,Deutschland,DE,2023,419237.7547499973,419837.9308941397,-600.1761441424023,-0.0014295424495452131,0.0014295424495452131,In line
2759,Store 1099,Deutschland,DE,2023,401664.8938499982,402884.72522969655,-1219.8313796983566,-0.003027742933174978,0.003027742933174978,In line
2760,Store 1101,Deutschland,DE,2023,343750.8374999991,345037.1627452722,-1286.325245273125,-0.0037280773903846692,0.0037280773903846692,In line
2762,Store 1102,Deutschland,DE,2023,711061.7035499902,709911.6723935951,1150.0311563950963,0.0016199637238215271,0.0016199637238215271,In line
2763,Store 1103,Deutschland,DE,2023,440250.74234999635,441522.21358298045,-1271.4712329840986,-0.0028797446512736696,0.0028797446512736696,In line
2765,Store 1105,Deutschland,DE,2023,406743.71534999815,410248.9567137772,-3505.2413637790596,-0.008544181054979743,0.008544181054979743,In line
2766,Store 1106,Deutschland,DE,2023,621293.9557499927,622290.0345958163,-996.0788458235329,-0.0016006665548975025,0.0016006665548975025,In line
2767,Store 1107,Deutschland,DE,2023,680302.471949991,678068.0262122146,2234.4457377763465,0.00329531205041223,0.00329531205041223,In line
2768,Store 1108,Deutschland,DE,2023,397838.7616499973,399615.98965090327,-1777.2280009059468,-0.0044473395633105135,0.0044473395633105135,In line
2769,Store 1109,Deutschland,DE,2023,325279.55699999904,324935.9701318245,343.5868681745487,0.0010573986869941104,0.0010573986869941104,In line
277,Store 1110,Deutschland,DE,2023,422269.13114999724,420035.8391877852,2233.29196221201,0.005316908115580045,0.005316908115580045,In line
2770,Store 1111,Deutschland,DE,2023,493074.58049999544,493411.20837189787,-336.6278719024267,-0.0006822460985699798,0.0006822460985699798,In line
2772,Store 1112,Deutschland,DE,2023,439940.7350999963,441466.3197950509,-1525.5846950545674,-0.00345572159561983,0.00345572159561983,In line
2773,Store 1113,Deutschland,DE,2023,531422.0216999946,530957.6892636997,464.33243629487697,0.0008745187153025043,0.0008745187153025043,In line
2776,Store 1115,Deutschland,DE,2023,435225.6602999964,432804.2693058293,2421.3909941670718,0.005594655981676701,0.005594655981676701,In line
2777,Store 1116,Deutschland,DE,2023,494821.2766499955,493627.09585377644,1194.180796219036,0.0024191962034693076,0.0024191962034693076,In line
2779,Store 1117,Deutschland,DE,2023,329991.78869999916,332429.9364126461,-2438.1477126469254,-0.007334320545729813,0.007334320545729813,In line
2781,Store 1118,Deutschland,DE,2023,511439.3176499955,510240.8160272705,1198.501622724987,0.0023488940615462865,0.0023488940615462865,In line
2782,Store 1119,Deutschland,DE,2023,501974.91719999554,502178.3094944416,-203.39229444606462,-0.00040502007076097317,0.00040502007076097317,In line
2783,Store 1120,Deutschland,DE,2023,1084349.616299982,1082552.1546385675,1797.461661414476,0.0016603926690392076,0.0016603926690392076,In line
2784,Store 1121,Deutschland,DE,2023,460651.75874999637,462208.334488336,-1556.5757383396267,-0.00336769292588104,0.00336769292588104,In line
2785,Store 1122,Deutschland,DE,2023,815026.4104499874,812154.0942734686,2872.316176518798,0.0035366640355218495,0.0035366640355218495,In line
2788,Store 1124,Deutschland,DE,2023,402088.27274999727,403911.4823025536,-1823.2095525563345,-0.004513883938537412,0.004513883938537412,In line
2790,Store 1125,Deutschland,DE,2023,320453.07884999906,322852.16292277025,-2399.084072771191,-0.007430905994410445,0.007430905994410445,In line
2792,Store 1127,Deutschland,DE,2023,497753.1688499954,498718.70402705495,-965.5351770595298,-0.0019360316131378753,0.0019360316131378753,In line
2794,Store 1128,Deutschland,DE,2023,542295.4940999945,542297.8177598781,-2.3236598835792392,-4.2848409259284965e-06,4.2848409259284965e-06,In line
2795,Store 1129,Deutschland,DE,2023,426977.62064999726,428088.1435438846,-1110.5228938873624,-0.00259414541289093,0.00259414541289093,In line
2797,Store 1130,Deutschland,DE,2023,451446.79724999634,450929.0938162069,517.7034337894293,0.0011480816848789064,0.0011480816848789064,In line
2798,Store 1131,Deutschland,DE,2023,330087.53069999913,332088.3518914576,-2000.8211914584972,-0.0060249664887748345,0.0060249664887748345,In line
